Time,prey,predator
3.293293293293293544e+01,3.250111879568970075e+00,1.499977623438153707e+01
3.303303303303303551e+01,3.250108299534526957e+00,1.499978339632028757e+01
3.313313313313313557e+01,3.250104834460143977e+00,1.499979032873956619e+01
3.323323323323323564e+01,3.250101480198642978e+00,1.499979703958997845e+01
3.333333333333333570e+01,3.250098233179071094e+00,1.499980353587783455e+01
3.343343343343343577e+01,3.250095089927324654e+00,1.499980982439192090e+01
3.353353353353353583e+01,3.250092047059756073e+00,1.499981591171496831e+01
3.363363363363363590e+01,3.250089101276780745e+00,1.499982180423515743e+01
3.373373373373373596e+01,3.250086249356487045e+00,1.499982750815759047e+01
3.383383383383383602e+01,3.250083488148242772e+00,1.499983302951578068e+01
3.393393393393393609e+01,3.250080816285308316e+00,1.499983837348734461e+01
3.403403403403403615e+01,3.250078230138236712e+00,1.499984354604082881e+01
3.413413413413413622e+01,3.250075726789047881e+00,1.499984855274075990e+01
3.423423423423423628e+01,3.250073303562746929e+00,1.499985339894617020e+01
3.433433433433433635e+01,3.250070957853389064e+00,1.499985808988989788e+01
3.443443443443443641e+01,3.250068687119179067e+00,1.499986263068946890e+01
3.453453453453453648e+01,3.250066488877574322e+00,1.499986702635798075e+01
3.463463463463463654e+01,3.250064360700383403e+00,1.499987128181498264e+01
3.473473473473473661e+01,3.250062301323453973e+00,1.499987539928707747e+01
3.483483483483483667e+01,3.250060309830176131e+00,1.499987938021950740e+01
3.493493493493493673e+01,3.250058382549573466e+00,1.499988323254001088e+01
3.503503503503503680e+01,3.250056517405987222e+00,1.499988696047157610e+01
3.513513513513513686e+01,3.250054712369315979e+00,1.499989056816128574e+01
3.523523523523523693e+01,3.250052965450692888e+00,1.499989405968984713e+01
3.533533533533533699e+01,3.250051274698162018e+00,1.499989743908112416e+01
3.543543543543543706e+01,3.250049638192355150e+00,1.499990071031166750e+01
3.553553553553553712e+01,3.250048054042167234e+00,1.499990387732025354e+01
3.563563563563563719e+01,3.250046520380435844e+00,1.499990694401741997e+01
3.573573573573573725e+01,3.250045035359614420e+00,1.499990991429498877e+01
3.583583583583583732e+01,3.250043597147451280e+00,1.499991279203560879e+01
3.593593593593593738e+01,3.250042203922665962e+00,1.499991558112228773e+01
3.603603603603603744e+01,3.250040859715209507e+00,1.499991826890063429e+01
3.613613613613613751e+01,3.250039559348800289e+00,1.499992086880710218e+01
3.623623623623623757e+01,3.250038300980593320e+00,1.499992338486376475e+01
3.633633633633633764e+01,3.250037083166366969e+00,1.499992581998469277e+01
3.643643643643643770e+01,3.250035904482542204e+00,1.499992817704339920e+01
3.653653653653653777e+01,3.250034763522982484e+00,1.499993045887918441e+01
3.663663663663663783e+01,3.250033658895795874e+00,1.499993266830349725e+01
3.673673673673673790e+01,3.250032589220134049e+00,1.499993480810626956e+01
3.683683683683683796e+01,3.250031553122997074e+00,1.499993688106228262e+01
3.693693693693693803e+01,3.250030549236029742e+00,1.499993888993750346e+01
3.703703703703703809e+01,3.250029576192326353e+00,1.499994083749544060e+01
3.713713713713713815e+01,3.250028632623229718e+00,1.499994272650349991e+01
3.723723723723723822e+01,3.250027720542021825e+00,1.499994455244256741e+01
3.733733733733733828e+01,3.250026840631987657e+00,1.499994631365792763e+01
3.743743743743743835e+01,3.250025988809724709e+00,1.499994801876277251e+01
3.753753753753753841e+01,3.250025164104446418e+00,1.499994966966238330e+01
3.763763763763763848e+01,3.250024365564695650e+00,1.499995126821781177e+01
